positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
1,307,0,7,8,322,0.9782608695652174,0.5333333333333333,1.0,0.6956521739130435
2,171,19,7,125,322,0.9192546583850931,0.946969696969697,0.8680555555555556,0.9057971014492754
3,186,18,21,97,322,0.8788819875776398,0.8220338983050848,0.8434782608695652,0.8326180257510729
4,257,8,10,47,322,0.9440993788819876,0.8245614035087719,0.8545454545454545,0.8392857142857143
